"","signature_name","gene_id","gene_type","gene_name","name","class","weight"
"105","IPS","ENSG00000196352.18","protein_coding","CD55","Tem CD8","EC",1
"106","IPS","ENSG00000003402.21","protein_coding","CFLAR","Tem CD8","EC",1
"107","IPS","ENSG00000174600.14","protein_coding","CMKLR1","Tem CD8","EC",1
"108","IPS","ENSG00000070190.13","protein_coding","DAPP1","Tem CD8","EC",1
"109","IPS","ENSG00000181036.14","protein_coding","FCRL6","Tem CD8","EC",1
"110","IPS","ENSG00000090554.13","protein_coding","FLT3LG","Tem CD8","EC",1
"111","IPS","ENSG00000197540.8","protein_coding","GZMM","Tem CD8","EC",1
"112","IPS","ENSG00000140511.12","protein_coding","HAPLN3","Tem CD8","EC",1
"113","IPS","ENSG00000242574.9","protein_coding","HLA-DMB","Tem CD8","EC",1
"114","IPS","ENSG00000231389.8","protein_coding","HLA-DPA1","Tem CD8","EC",1
"115","IPS","ENSG00000223865.11","protein_coding","HLA-DPB1","Tem CD8","EC",1
"116","IPS","ENSG00000163565.20","protein_coding","IFI16","Tem CD8","EC",1
"117","IPS","ENSG00000203896.10","protein_coding","LIME1","Tem CD8","EC",1
"118","IPS","ENSG00000062524.16","protein_coding","LTK","Tem CD8","EC",1
"119","IPS","ENSG00000100906.11","protein_coding","NFKBIA","Tem CD8","EC",1
"120","IPS","ENSG00000145391.14","protein_coding","SETD7","Tem CD8","EC",1
"121","IPS","ENSG00000142178.9","protein_coding","SIK1","Tem CD8","EC",1
"122","IPS","ENSG00000071575.12","protein_coding","TRIB2","Tem CD8","EC",1
"123","IPS","ENSG00000121807.7","protein_coding","CCR2","MDSC","SC",-1
"124","IPS","ENSG00000170458.15","protein_coding","CD14","MDSC","SC",-1
"125","IPS","ENSG00000116824.5","protein_coding","CD2","MDSC","SC",-1
"126","IPS","ENSG00000114013.16","protein_coding","CD86","MDSC","SC",-1
"127","IPS","ENSG00000121966.8","protein_coding","CXCR4","MDSC","SC",-1
"128","IPS","ENSG00000143226.15","protein_coding","FCGR2A","MDSC","SC",-1
"129","IPS","ENSG00000072694.22","protein_coding","FCGR2B","MDSC","SC",-1
"130","IPS","ENSG00000203747.12","protein_coding","FCGR3A","MDSC","SC",-1
"131","IPS","ENSG00000149781.13","protein_coding","FERMT3","MDSC","SC",-1
"132","IPS","ENSG00000213654.10","protein_coding","GPSM3","MDSC","SC",-1
"133","IPS","ENSG00000137496.18","protein_coding","IL18BP","MDSC","SC",-1
"134","IPS","ENSG00000077238.14","protein_coding","IL4R","MDSC","SC",-1
"135","IPS","ENSG00000005844.19","protein_coding","ITGAL","MDSC","SC",-1
"136","IPS","ENSG00000169896.18","protein_coding","ITGAM","MDSC","SC",-1
"137","IPS","ENSG00000138964.17","protein_coding","PARVG","MDSC","SC",-1
"138","IPS","ENSG00000197746.15","protein_coding","PSAP","MDSC","SC",-1
"139","IPS","ENSG00000125384.7","protein_coding","PTGER2","MDSC","SC",-1
"140","IPS","ENSG00000148334.16","protein_coding","PTGES2","MDSC","SC",-1
"141","IPS","ENSG00000143546.10","protein_coding","S100A8","MDSC","SC",-1
"142","IPS","ENSG00000163220.11","protein_coding","S100A9","MDSC","SC",-1
"143","IPS","ENSG00000276085.1","protein_coding","CCL3L1","Treg","SC",-1
"144","IPS","ENSG00000137101.14","protein_coding","CD72","Treg","SC",-1
"145","IPS","ENSG00000258227.7","protein_coding","CLEC5A","Treg","SC",-1
"146","IPS","ENSG00000049768.17","protein_coding","FOXP3","Treg","SC",-1
"147","IPS","ENSG00000115232.14","protein_coding","ITGA4","Treg","SC",-1
"148","IPS","ENSG00000198910.14","protein_coding","L1CAM","Treg","SC",-1
"149","IPS","ENSG00000107798.18","protein_coding","LIPA","Treg","SC",-1
"150","IPS","ENSG00000123384.14","protein_coding","LRP1","Treg","SC",-1
"151","IPS","ENSG00000116212.15","protein_coding","LRRC42","Treg","SC",-1
"152","IPS","ENSG00000019169.11","protein_coding","MARCO","Treg","SC",-1
"153","IPS","ENSG00000262406.3","protein_coding","MMP12","Treg","SC",-1
"154","IPS","ENSG00000163563.8","protein_coding","MNDA","Treg","SC",-1
"155","IPS","ENSG00000260314.3","protein_coding","MRC1","Treg","SC",-1
"156","IPS","ENSG00000110077.15","protein_coding","MS4A6A","Treg","SC",-1
"157","IPS","ENSG00000152684.11","protein_coding","PELO","Treg","SC",-1
"158","IPS","ENSG00000115956.10","protein_coding","PLEK","Treg","SC",-1
"159","IPS","ENSG00000150687.12","protein_coding","PRSS23","Treg","SC",-1
"160","IPS","ENSG00000160013.9","protein_coding","PTGIR","Treg","SC",-1
"161","IPS","ENSG00000113532.13","protein_coding","ST8SIA4","Treg","SC",-1
"162","IPS","ENSG00000010327.10","protein_coding","STAB1","Treg","SC",-1
