signature_name,gene_id,gene_type,gene_name,weight
PTEN-MITF_Cabrita,ENSG00000084636.18,protein_coding,COL16A1,NA
PTEN-MITF_Cabrita,ENSG00000158164.7,protein_coding,TMSB15A,NA
PTEN-MITF_Cabrita,ENSG00000165821.12,protein_coding,SALL2,NA
PTEN-MITF_Cabrita,ENSG00000132718.9,protein_coding,SYT11,NA
PTEN-MITF_Cabrita,ENSG00000130635.16,protein_coding,COL5A1,NA
PTEN-MITF_Cabrita,ENSG00000082781.12,protein_coding,ITGB5,NA
PTEN-MITF_Cabrita,ENSG00000164283.13,protein_coding,ESM1,NA
PTEN-MITF_Cabrita,ENSG00000154380.19,protein_coding,ENAH,NA
PTEN-MITF_Cabrita,ENSG00000111799.22,protein_coding,COL12A1,NA
PTEN-MITF_Cabrita,ENSG00000152784.16,protein_coding,PRDM8,NA
PTEN-MITF_Cabrita,ENSG00000138080.14,protein_coding,EMILIN1,NA
PTEN-MITF_Cabrita,ENSG00000139174.12,protein_coding,PRICKLE1,NA
PTEN-MITF_Cabrita,ENSG00000204262.14,protein_coding,COL5A2,NA
PTEN-MITF_Cabrita,ENSG00000109472.14,protein_coding,CPE,NA
PTEN-MITF_Cabrita,ENSG00000169439.12,protein_coding,SDC2,NA
PTEN-MITF_Cabrita,ENSG00000163637.13,protein_coding,PRICKLE2,NA
PTEN-MITF_Cabrita,ENSG00000164056.11,protein_coding,SPRY1,NA
