"","signature_name","gene_id","gene_type","gene_name","weight"
"88","T_cell_exclusion","ENSG00000256045.3","protein_coding","MTRNR2L10",-1
"89","T_cell_exclusion","ENSG00000271043.2","processed_pseudogene","MTRNR2L2",-1
"90","T_cell_exclusion","ENSG00000256222.3","protein_coding","MTRNR2L3",-1
"91","T_cell_exclusion","ENSG00000232196.4","protein_coding","MTRNR2L4",-1
"92","T_cell_exclusion","ENSG00000270672.1","protein_coding","MTRNR2L6",-1
"93","T_cell_exclusion","ENSG00000255823.5","protein_coding","MTRNR2L8",-1
"94","T_cell_exclusion","ENSG00000168824.15","protein_coding","NSG1",-1
"95","T_cell_exclusion","ENSG00000136040.9","protein_coding","PLXNC1",-1
"96","T_cell_exclusion","ENSG00000197746.15","protein_coding","PSAP",-1
"97","T_cell_exclusion","ENSG00000115828.17","protein_coding","QPCT",-1
"98","T_cell_exclusion","ENSG00000111540.16","protein_coding","RAB5B",-1
"99","T_cell_exclusion","ENSG00000160678.12","protein_coding","S100A1",-1
"100","T_cell_exclusion","ENSG00000160307.10","protein_coding","S100B",-1
"101","T_cell_exclusion","ENSG00000130066.17","protein_coding","SAT1",-1
"102","T_cell_exclusion","ENSG00000166562.9","protein_coding","SEC11C",-1
"103","T_cell_exclusion","ENSG00000092068.21","protein_coding","SLC7A8",-1
"104","T_cell_exclusion","ENSG00000064225.13","protein_coding","ST3GAL6",-1
"105","T_cell_exclusion","ENSG00000170348.9","protein_coding","TMED10",-1
"106","T_cell_exclusion","ENSG00000125355.16","protein_coding","TMEM255A",-1
"107","T_cell_exclusion","ENSG00000077498.9","protein_coding","TYR",-1
"108","T_cell_exclusion","ENSG00000108828.16","protein_coding","VAT1",-1
