"","signature_name","gene_id","gene_type","gene_name","weight"
"131","NonResponse_Ivy","ENSG00000181544.16","protein_coding","FANCB",NA
"132","NonResponse_Ivy","ENSG00000072571.20","protein_coding","HMMR",NA
"133","NonResponse_Ivy","ENSG00000051341.15","protein_coding","POLQ",NA
"134","NonResponse_Ivy","ENSG00000120334.16","protein_coding","CENPL",NA
"135","NonResponse_Ivy","ENSG00000128059.8","protein_coding","PPAT",NA
"136","NonResponse_Ivy","ENSG00000137807.16","protein_coding","KIF23",NA
"137","NonResponse_Ivy","ENSG00000111247.15","protein_coding","RAD51AP1",NA
"138","NonResponse_Ivy","ENSG00000104312.8","protein_coding","RIPK2",NA
"139","NonResponse_Ivy","ENSG00000111602.12","protein_coding","TIMELESS",NA
"140","NonResponse_Ivy","ENSG00000106462.12","protein_coding","EZH2",NA
"141","NonResponse_Ivy","ENSG00000076382.17","protein_coding","SPAG5",NA
"142","NonResponse_Ivy",NA,NA,"TMEM48",NA
"143","NonResponse_Ivy","ENSG00000173207.13","protein_coding","CKS1B",NA
"144","NonResponse_Ivy","ENSG00000172172.8","protein_coding","MRPL13",NA
"145","NonResponse_Ivy","ENSG00000104889.7","protein_coding","RNASEH2A",NA
"146","NonResponse_Ivy","ENSG00000182481.10","protein_coding","KPNA2",NA
"147","NonResponse_Ivy","ENSG00000175063.17","protein_coding","UBE2C",NA
"148","NonResponse_Ivy","ENSG00000136810.13","protein_coding","TXN",NA
"149","NonResponse_Ivy","ENSG00000049541.11","protein_coding","RFC2",NA
"150","NonResponse_Ivy","ENSG00000013810.21","protein_coding","TACC3",NA
"151","NonResponse_Ivy",NA,NA,"HN1",NA
"152","NonResponse_Ivy","ENSG00000138092.11","protein_coding","CENPO",NA
"153","NonResponse_Ivy","ENSG00000134057.15","protein_coding","CCNB1",NA
"154","NonResponse_Ivy","ENSG00000099901.17","protein_coding","RANBP1",NA
"155","NonResponse_Ivy","ENSG00000108106.14","protein_coding","UBE2S",NA
"156","NonResponse_Ivy","ENSG00000117650.13","protein_coding","NEK2",NA
"157","NonResponse_Ivy","ENSG00000175305.18","protein_coding","CCNE2",NA
"158","NonResponse_Ivy","ENSG00000137547.9","protein_coding","MRPL15",NA
"159","NonResponse_Ivy","ENSG00000135451.13","protein_coding","TROAP",NA
"160","NonResponse_Ivy","ENSG00000117724.14","protein_coding","CENPF",NA
"161","NonResponse_Ivy","ENSG00000157193.18","protein_coding","LRP8",NA
"162","NonResponse_Ivy","ENSG00000162244.12","protein_coding","RPL29",NA
"163","NonResponse_Ivy","ENSG00000091651.9","protein_coding","ORC6",NA
"164","NonResponse_Ivy","ENSG00000134690.11","protein_coding","CDCA8",NA
"165","NonResponse_Ivy","ENSG00000076248.11","protein_coding","UNG",NA
"166","NonResponse_Ivy","ENSG00000112578.10","protein_coding","BYSL",NA
"167","NonResponse_Ivy","ENSG00000135018.14","protein_coding","UBQLN1",NA
"168","NonResponse_Ivy","ENSG00000097046.13","protein_coding","CDC7",NA
"169","NonResponse_Ivy","ENSG00000176853.16","protein_coding","FAM91A1",NA
"170","NonResponse_Ivy",NA,NA,"MTERFD1",NA
"171","NonResponse_Ivy","ENSG00000186871.7","protein_coding","ERCC6L",NA
"172","NonResponse_Ivy",NA,NA,"TCEB1",NA
"173","NonResponse_Ivy","ENSG00000131876.18","protein_coding","SNRPA1",NA
"174","NonResponse_Ivy","ENSG00000237649.8","protein_coding","KIFC1",NA
"175","NonResponse_Ivy",NA,NA,"KIAA0101",NA
"176","NonResponse_Ivy","ENSG00000166851.15","protein_coding","PLK1",NA
"177","NonResponse_Ivy","ENSG00000124207.17","protein_coding","CSE1L",NA
"178","NonResponse_Ivy","ENSG00000136518.17","protein_coding","ACTL6A",NA
"179","NonResponse_Ivy","ENSG00000100526.21","protein_coding","CDKN3",NA
"180","NonResponse_Ivy",NA,NA,"C15orf42",NA
