"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"93","IPRES","POST_OP_WOUNDHEALING","ENSG00000170323.9","protein_coding","FABP4",NA
"94","IPRES","POST_OP_WOUNDHEALING","ENSG00000136244.12","protein_coding","IL6",NA
"95","IPRES","POST_OP_WOUNDHEALING","ENSG00000197405.8","protein_coding","C5AR1",NA
"96","IPRES","POST_OP_WOUNDHEALING","ENSG00000184254.17","protein_coding","ALDH1A3",NA
"97","IPRES","POST_OP_WOUNDHEALING","ENSG00000162493.17","protein_coding","PDPN",NA
"98","IPRES","POST_OP_WOUNDHEALING","ENSG00000090382.7","protein_coding","LYZ",NA
"99","IPRES","POST_OP_WOUNDHEALING","ENSG00000177575.13","protein_coding","CD163",NA
"100","IPRES","POST_OP_WOUNDHEALING","ENSG00000206418.5","protein_coding","RAB12",NA
"101","IPRES","POST_OP_WOUNDHEALING","ENSG00000150681.10","protein_coding","RGS18",NA
"102","IPRES","POST_OP_WOUNDHEALING","ENSG00000244734.4","protein_coding","HBB",NA
"103","IPRES","POST_OP_WOUNDHEALING","ENSG00000102265.12","protein_coding","TIMP1",NA
"104","IPRES","POST_OP_WOUNDHEALING","ENSG00000117519.16","protein_coding","CNN3",NA
"105","IPRES","POST_OP_WOUNDHEALING","ENSG00000147689.17","protein_coding","FAM83A",NA
"106","IPRES","POST_OP_WOUNDHEALING",NA,NA,"CYR61",NA
"107","IPRES","POST_OP_WOUNDHEALING","ENSG00000041982.16","protein_coding","TNC",NA
"108","IPRES","POST_OP_WOUNDHEALING","ENSG00000113657.13","protein_coding","DPYSL3",NA
"109","IPRES","POST_OP_WOUNDHEALING","ENSG00000184838.15","protein_coding","PRR16",NA
"110","IPRES","POST_OP_WOUNDHEALING","ENSG00000112208.11","protein_coding","BAG2",NA
"111","IPRES","POST_OP_WOUNDHEALING","ENSG00000171451.15","protein_coding","DSEL",NA
"112","IPRES","POST_OP_WOUNDHEALING","ENSG00000101670.12","protein_coding","LIPG",NA
"113","IPRES","POST_OP_WOUNDHEALING","ENSG00000145287.11","protein_coding","PLAC8",NA
"114","IPRES","POST_OP_WOUNDHEALING","ENSG00000081041.9","protein_coding","CXCL2",NA
"115","IPRES","POST_OP_WOUNDHEALING","ENSG00000158869.11","protein_coding","FCER1G",NA
"116","IPRES","POST_OP_WOUNDHEALING","ENSG00000173705.9","protein_coding","SUSD5",NA
"117","IPRES","POST_OP_WOUNDHEALING","ENSG00000162614.19","protein_coding","NEXN",NA
"118","IPRES","POST_OP_WOUNDHEALING","ENSG00000172578.12","protein_coding","KLHL6",NA
"119","IPRES","POST_OP_WOUNDHEALING","ENSG00000113368.12","protein_coding","LMNB1",NA
"120","IPRES","POST_OP_WOUNDHEALING","ENSG00000013588.9","protein_coding","GPRC5A",NA
"121","IPRES","POST_OP_WOUNDHEALING","ENSG00000182916.8","protein_coding","TCEAL7",NA
"122","IPRES","POST_OP_WOUNDHEALING","ENSG00000171051.9","protein_coding","FPR1",NA
"123","IPRES","POST_OP_WOUNDHEALING","ENSG00000128383.13","protein_coding","APOBEC3A",NA
"124","IPRES","POST_OP_WOUNDHEALING","ENSG00000115221.12","protein_coding","ITGB6",NA
"125","IPRES","POST_OP_WOUNDHEALING","ENSG00000002587.10","protein_coding","HS3ST1",NA
"126","IPRES","POST_OP_WOUNDHEALING","ENSG00000183347.15","protein_coding","GBP6",NA
"127","IPRES","POST_OP_WOUNDHEALING","ENSG00000082781.12","protein_coding","ITGB5",NA
"128","IPRES","POST_OP_WOUNDHEALING","ENSG00000181092.10","protein_coding","ADIPOQ",NA
"129","IPRES","POST_OP_WOUNDHEALING","ENSG00000088882.8","protein_coding","CPXM1",NA
"130","IPRES","POST_OP_WOUNDHEALING","ENSG00000057294.16","protein_coding","PKP2",NA
"131","IPRES","POST_OP_WOUNDHEALING","ENSG00000166741.8","protein_coding","NNMT",NA
"132","IPRES","POST_OP_WOUNDHEALING","ENSG00000173391.9","protein_coding","OLR1",NA
"133","IPRES","POST_OP_WOUNDHEALING","ENSG00000221823.11","protein_coding","PPP3R1",NA
"134","IPRES","POST_OP_WOUNDHEALING","ENSG00000169679.15","protein_coding","BUB1",NA
"135","IPRES","POST_OP_WOUNDHEALING","ENSG00000140379.9","protein_coding","BCL2A1",NA
"136","IPRES","POST_OP_WOUNDHEALING","ENSG00000164114.19","protein_coding","MAP9",NA
"137","IPRES","POST_OP_WOUNDHEALING","ENSG00000023909.10","protein_coding","GCLM",NA
"138","IPRES","POST_OP_WOUNDHEALING","ENSG00000163993.7","protein_coding","S100P",NA
"139","IPRES","POST_OP_WOUNDHEALING","ENSG00000117525.14","protein_coding","F3",NA
"140","IPRES","POST_OP_WOUNDHEALING","ENSG00000087128.10","protein_coding","TMPRSS11E",NA
"141","IPRES","POST_OP_WOUNDHEALING","ENSG00000151917.18","protein_coding","BEND6",NA
"142","IPRES","POST_OP_WOUNDHEALING","ENSG00000203747.12","protein_coding","FCGR3A",NA
"143","IPRES","POST_OP_WOUNDHEALING","ENSG00000067048.17","protein_coding","DDX3Y",NA
"144","IPRES","POST_OP_WOUNDHEALING","ENSG00000124102.5","protein_coding","PI3",NA
"145","IPRES","POST_OP_WOUNDHEALING","ENSG00000166927.13","protein_coding","MS4A7",NA
"146","IPRES","POST_OP_WOUNDHEALING","ENSG00000085265.12","protein_coding","FCN1",NA
"147","IPRES","POST_OP_WOUNDHEALING","ENSG00000136869.16","protein_coding","TLR4",NA
"148","IPRES","POST_OP_WOUNDHEALING","ENSG00000154277.13","protein_coding","UCHL1",NA
"149","IPRES","POST_OP_WOUNDHEALING","ENSG00000170891.11","protein_coding","CYTL1",NA
"150","IPRES","POST_OP_WOUNDHEALING","ENSG00000113532.13","protein_coding","ST8SIA4",NA
"151","IPRES","POST_OP_WOUNDHEALING","ENSG00000100985.7","protein_coding","MMP9",NA
"152","IPRES","POST_OP_WOUNDHEALING","ENSG00000136010.14","protein_coding","ALDH1L2",NA
"153","IPRES","POST_OP_WOUNDHEALING","ENSG00000024526.17","protein_coding","DEPDC1",NA
"154","IPRES","POST_OP_WOUNDHEALING","ENSG00000169385.3","protein_coding","RNASE2",NA
"155","IPRES","POST_OP_WOUNDHEALING","ENSG00000145879.11","protein_coding","SPINK7",NA
