"signature_name","gene_id","gene_type","gene_name","weight","entrez_id"
"Tcell-exclusion_Arnon","ENSG00000255823.5","protein_coding","MTRNR2L8",1,NA
"Tcell-exclusion_Arnon","ENSG00000168824.15","protein_coding","NSG1",1,"27065"
"Tcell-exclusion_Arnon","ENSG00000136040.9","protein_coding","PLXNC1",1,"10154"
"Tcell-exclusion_Arnon","ENSG00000197746.15","protein_coding","PSAP",1,"5660"
"Tcell-exclusion_Arnon","ENSG00000115828.17","protein_coding","QPCT",1,"25797"
"Tcell-exclusion_Arnon","ENSG00000111540.16","protein_coding","RAB5B",1,"5869"
"Tcell-exclusion_Arnon","ENSG00000160678.12","protein_coding","S100A1",1,"6271"
"Tcell-exclusion_Arnon","ENSG00000160307.10","protein_coding","S100B",1,"6285"
"Tcell-exclusion_Arnon","ENSG00000130066.17","protein_coding","SAT1",1,"6303"
"Tcell-exclusion_Arnon","ENSG00000166562.9","protein_coding","SEC11C",1,"90701"
"Tcell-exclusion_Arnon","ENSG00000092068.21","protein_coding","SLC7A8",1,"23428"
"Tcell-exclusion_Arnon","ENSG00000064225.13","protein_coding","ST3GAL6",1,"10402"
"Tcell-exclusion_Arnon","ENSG00000170348.9","protein_coding","TMED10",1,"10972"
"Tcell-exclusion_Arnon","ENSG00000125355.16","protein_coding","TMEM255A",1,"55026"
"Tcell-exclusion_Arnon","ENSG00000077498.9","protein_coding","TYR",1,"7299"
"Tcell-exclusion_Arnon","ENSG00000108828.16","protein_coding","VAT1",1,"10493"
